Frame Number,Caption
650,a man is doing push ups on his knees
660,a man is bending his legs on the floor
670,a man is bending his foot on a white surface
680,a man is doing push on a white surface
690,a man doing push ups on his chest
700,a man is doing a push on his chest
710,a man is doing push ups on his chest
720,a man is bending his foot on the floor
730,a man is bending his foot on the floor
740,a man is doing push ups on the floor
750,a man doing push ups on a white floor
760,a man is bending his foot on the floor
770,a man is bending his foot on the floor
780,a man doing push ups on a white surface
790,a man is doing push ups on his chest
800,a man is doing push ups on his chest
810,a man is bending his body on the floor
820,a man is bending his foot on the floor
830,a man is bending his legs on the floor
840,a man carrying a blue bag
850,a man in a suit is holding a blue barrel
860,a man in a gray jacket and black pants
870,a man in a suit and sunglasses walking down a street
880,a man in a suit and tie walking down the street
890,a man in a suit and tie walking down a street
900,a man in a black coat walking down the street
910,a man in a black shirt and red shirt walking down a street
920,a man in a black hat walking down a street
930,a man in a black hat is standing next to a tree
940,a man in a suit and tie is walking down the street
950,a man in a hat and glasses is walking
960,a man in a hat and glasses walking down the street
970,a man in a hat and glasses walking down a street
980,a man in a hat and glasses walking down the street
990,a bird is sitting on a blue bird feeder
1000,a bird is sitting on a tree branch
1010,a man in a suit and tie is holding a blue bucket
1020,a man in a suit and tie is walking
1030,a man in a suit and tie is standing behind a window
1040,a man in a suit and tie is standing on a stage
1050,a man is pouring something into a bucket
1060,a cat is sitting on a table outside
1070,a group of men standing around a tree
1080,a man in a suit and hat is standing next to a tree
1090,a group of people standing around a tree
1100,a group of people walking down a street
1110,a group of people standing around a tree
1120,a group of people standing around a tree
1130,a group of people standing around a tree
1140,a group of men standing around a tree
1150,a bike with a blue bag on the back
1160,a man in a suit is riding a bike
1170,a man is holding a baby elephant
1180,a man is holding a blue piece of paper
1190,a man is riding a motorcycle with a blue bag
1200,a man in a suit
1210,a man in a suit holding a bird in a cage
1220,a man in a black shirt is standing in front of a podium
1230,a man is standing in front of a wall
1240,a man is standing in front of a painting
1250,a man is holding a bird in a cage
1260,a cat is in a cage
1270,a cat in a cage
1280,a man is holding a chair in his hand
1290,a man holding a bird cage in his hand
1300,a bird is perched on a cage in the woods
1310,a man with a rifle in his hand
1320,a man in a suit is holding a rifle
1330,a man is climbing up a tree
1340,a bird is perched on a branch of a tree
1350,a man is standing on a ladder in the woods
1360,a man is climbing up a tree
1370,a man is standing on a ladder in the woods
1380,a plate of vegetables and fruit with a white background
1390,a plate of vegetables and fruits on a white surface
1400,a bowl filled with vegetables and a white background
1410,a plate of vegetables and fruit on a white background
1420,a plate of vegetables and fruits on a white background
1430,a plate of vegetables and fruit on a white surface
1440,a bowl filled with vegetables and fruit
1450,a bowl filled with lots of vegetables
1460,a bowl filled with lots of vegetables and fruits
1470,a bowl filled with vegetables and fruit
1480,a white plate topped with a salad of vegetables and fruit
1490,a white plate topped with a salad of vegetables and avocas
1500,a white plate topped with a salad of vegetables and avocas
1510,a white plate topped with a salad of vegetables and avocas
1520,a white plate topped with a salad of vegetables and avocas
1530,a white plate topped with a salad of vegetables and avocas
1540,a bowl filled with vegetables and vegetables
1550,a bowl filled with vegetables and fruit
1560,a bowl filled with vegetables and fruit
1570,a bowl filled with vegetables and fruit
1580,a bowl filled with vegetables and fruit
1590,a bowl filled with vegetables and fruit
1600,a bowl filled with vegetables and fruit
1610,a bowl filled with vegetables and fruit
1620,a bunch of vegetables and fruits on a white background
1630,a bunch of vegetables and fruits on a white background
1640,a cat standing on a window sie
1650,a cat standing on a window sie
1660,a cat is standing on a bed and looking at a stuffed animal
1670,a cat standing on a table next to a stuffed animal
1680,a cat standing on a bed next to a stuffed animal
1690,a cat is standing on a couch and looking at another cat
1700,a cat standing on a window sie
1710,a cat standing on a window sie
1720,a cat standing on a window sing
1730,a cat standing on top of a glass table
1740,a cat walking on a table with a toy
1750,a cat is walking on a green surface
1760,a cat is standing on a bed and looking at something
1770,a cat is standing on a bed
1780,a cat is standing on a green blanket
1790,a cat is standing on a couch
1800,a cat is standing on a couch
1810,a cat is standing on a couch
1820,a cat is standing on a table
1830,a cat standing on a tiled floor
1840,a cat standing on a tiled floor
1850,a cat standing on a tiled floor
1860,a cat standing on a bathroom sink
1870,a cat standing on a toilet in a bathroom
1880,a cat is standing on a laptop
1890,a cat standing on a laptop computer
1900,a cat is standing on a table
1910,a cat is standing on a table
1920,a large group of fish swimming in the ocean
1930,a large group of fish swimming in the ocean
1940,a group of fish swimming in the ocean
1950,a group of fish swimming in the ocean
1960,a group of fish swimming in the ocean
1970,a group of fish swimming in the ocean
1980,a group of fish swimming in the ocean
1990,a group of fish swimming in the ocean
2000,a group of fish swimming in the ocean
2010,a group of fish swimming in the ocean
2020,a group of fish swimming in the ocean
2030,a group of fish swimming in the ocean
2040,a group of fish swimming in the ocean
2050,a group of fish swimming in the ocean
2060,a group of fish swimming in the ocean
2070,a large group of fish swimming in the ocean
2080,a large group of fish swimming in the ocean
2090,a large group of fish swimming in the ocean
2100,a group of fish swimming in the ocean
2110,a group of fish swimming in the ocean
2120,a group of fish swimming in the ocean
2130,a group of fish swimming in the ocean
2140,a group of fish swimming in the ocean
2150,a group of fish swimming in the ocean
2160,a group of fish swimming in the ocean
2170,a group of fish swimming in the ocean
2180,a group of fish swimming in the ocean
2190,a group of fish swimming in the ocean
2200,a group of fish swimming in the ocean
2210,a group of fish swimming in the ocean
2220,a group of fish swimming in the ocean
2230,a group of fish swimming in the ocean
2240,a group of fish swimming in the ocean
2250,a group of fish swimming in the ocean
2260,a man in a diving suit is surrounded by corals
2270,a group of fish swimming in the ocean
2280,a group of fish swimming in the ocean
2290,a man is diving in the ocean with a group of fish
2300,a group of fish swimming in the ocean
2310,a man in a scuba suit is swimming among corals
2320,a group of fish swimming in the ocean
2330,a group of fish swimming in the ocean
2340,a group of fish swimming in the ocean
2350,a group of fish swimming in the ocean
2360,a group of fish swimming in the ocean
2370,a coral reef with many colorful fish swimming around
2380,a group of fish swimming in the ocean
2390,a woman in a pink shirt is holding her head
2400,a woman in a pink shirt is holding her head
2410,a woman in a pink jacket is holding her hair
2420,a woman in a pink shirt is holding a pink towel
2430,a woman in a pink shirt is holding a pink glove
2440,a woman in a pink shirt is holding a pink glove
2450,a woman in a pink shirt is holding a pink glove
2460,a woman in a pink shirt is talking on a cell
2470,a woman in a pink jacket is putting her hair
2480,a woman in a pink shirt is holding a pink towel
2490,a woman in a pink towel wiping her hair
2500,a woman in a pink shirt is holding a pink towel
2510,a woman in a pink towel wiping her hair
2520,a woman in a pink towel holding a pink towel
2530,a woman in a pink towel holding a pink towel
2540,a woman in a pink towel talking on a cell
2550,a woman in a pink jacket is holding a pink towel
2560,a woman in a pink towel holding a pink towel
2570,a woman in a pink towel holding a pink towel
2580,a woman in a pink scarf is smiling
2590,a woman holding a pink toy in her hand
2600,a woman in a pink scarf is smiling
2610,a woman in a pink shirt holding a pink towel
2620,a woman in a pink jacket smiles at the camera
2630,a woman in a pink shirt and pink scarf
2640,a woman in a pink shirt is smiling
2650,a woman in a pink shirt is smiling
2660,a woman in a pink sweater and pink scarf
2670,a woman in a pink sweater smiles at the camera
2680,a woman in a pink shirt and a pink scarf
2690,a woman in a pink shirt and a pink scarf
2700,a woman in a pink shirt and a pink scarf
2710,a woman in a pink shirt and a pink scarf
2720,a woman in a pink towel is smiling
2730,a woman in a pink shirt and pink scarf
2740,a woman in a pink sweater is talking to someone
2750,a plane is flying through the sky
2760,a large jet flying through the sky
2770,a plane flying through the sky with smoke coming from it
2780,a plane is flying through the sky
2790,a plane is flying through the sky
2800,a large jet flying through the sky
2810,a plane is flying through the sky
2820,a large jet flying through the sky
2830,a large jet flying through the sky
2840,a large jet flying through the sky
2850,a plane is flying through the sky
2860,a plane is flying through the sky with smoke coming from it
2870,a large jet flying through the sky
2880,a large jet flying through the sky
2890,a large jet flying through the sky
2900,a large jet flying through the sky
2910,a large jet flying through the sky
2920,a large jet flying through the sky
2930,a large jet flying through the sky
2940,a large jet flying through the sky
2950,a large jet flying through the sky
2960,a large jet flying through the sky
2970,a large jet flying through the sky
2980,a large jet flying through the sky
2990,a large jet flying through the sky
3000,a large jet flying through the sky
3010,a large jet flying through the sky
3020,a large jet flying through the sky
3030,a large jet flying through the sky
3040,a large jet flying through the sky
3050,a large jet flying through the sky
3060,a large jet flying through the sky
3070,a large jet flying through the sky
3080,a large jet flying through the sky
3090,a large jet flying through the air
3100,a large jet flying through the air
3110,a large jet flying through the sky
3120,a large jet flying through the sky
3130,a large jet flying through the air
3140,a large jet flying through the sky
3150,a large jet flying through the sky
3160,a large jet flying through the sky
3170,a large jet flying through the sky
3180,a large jet flying through the sky
3190,a large jet flying through the sky
3200,a large jet flying through the sky
3210,a large jet flying through the sky
3220,a large jet flying through the sky
3230,a large jet flying through the sky
3240,a large jet flying through the sky
3250,a large jet flying through the sky
3260,a large jet flying through the sky
3270,a large jet flying through the sky
3280,a man in a suit is holding a bird
3290,a man in a black shirt
3300,a man is standing in front of a window
3310,a man standing in front of a large screen
3320,a man is standing in front of a bird cage
3330,a man is holding a cage in his hand
3340,a person holding a bird in a cage
3350,a man is holding a chair in his hand
3360,a man holding a guitar in his hand
3370,a man is playing a guitar in a room
3380,a man in a suit and tie is holding a gun
3390,a man is holding a bird cage in his hand
3400,a man is standing in front of a tree
3410,a man is standing in front of a tree
3420,a man is playing a video game on a laptop
3430,a monkey is standing in the snow
3440,a brown and white dog standing in the snow
3450,a dog is standing in the snow
3460,a dog with a blue nose and a white nose
3470,a monkey with a white face and brown fur
3480,a monkey with a blue nose and a white face
3490,a monkey with a blue nose and a white face
3500,a monkey with a blue nose and a white face
3510,a monkey with a very long tail
3520,a monkey with a white face and brown fur
3530,a monkey with a very long hair and a very blue eye
3540,a monkey with a blue eye and a white face
3550,a monkey with a blue nose and a white face
3560,a panda bear is climbing a tree in the snow
3570,a panda bear is walking through the snow covered forest
3580,a panda bear is walking through the snow covered forest
3590,a panda bear is walking through the snow
3600,a panda bear is walking through the snow
3610,a panda bear is walking through the snow
3620,a panda bear is walking through the snow
3630,a panda bear is walking through the snow covered forest
3640,a panda bear is walking through the snow
3650,a panda bear is walking through the snow
3660,a panda bear is walking through the snow
3670,a panda bear walking through a snow covered forest
3680,a panda bear is walking through the snow
3690,a panda bear is walking through the snow
3700,a panda bear is walking through the snow
3710,a panda bear is walking through the snow
3720,a panda bear is walking through the snow
3730,a panda bear is climbing up a tree
3740,a panda bear is walking through the snow
3750,a panda bear is walking through the snow
3760,a panda bear is walking through the snow
3770,a panda is walking through the snow covered forest
3780,a panda bear is climbing up a tree
3790,a panda bear is walking through the snow
3800,a bear is walking through the snow covered forest
3810,a woman in a black tank top
3820,a woman in a black tank top
3830,a woman in a kitchen
3840,a woman in a black tank top
3850,a woman is putting bread in a oven
3860,a man is putting some food into a oven
3870,a woman is putting bread in a oven
3880,a man in a black shirt
3890,a woman in a kitchen
3900,a man in a kitchen preparing bread on a stove
3910,a man in a kitchen preparing bread on a counter
3920,a man in a kitchen preparing bread on a counter
3930,a man in a tank top
3940,a man in a vest and tie standing in front of a table
3950,a man in a black shirt and white pants
3960,a woman standing in a kitchen with a pan of food
3970,a woman in a kitchen preparing food
3980,a woman in a kitchen preparing bread on a stove
3990,a woman in a kitchen preparing food
4000,a woman in a kitchen preparing bread
4010,a woman in a kitchen preparing bread in a oven
4020,a woman in a kitchen preparing bread in a oven
4030,a woman in a kitchen
4040,a woman in a kitchen
4050,a woman in a kitchen
4060,a woman in a kitchen preparing food
4070,a man in a blue vest is cooking
4080,a man in a vest is cooking food
4090,a man in a vest is standing in front of a counter
4100,a man in a vest is standing in front of a table
4110,a woman in a black shirt and white pants
4120,a woman in a black top and white skirt
4130,a man in a black shirt is playing a guitar
4140,a man in a suit and tie is sitting on a chair
4150,two men in suits and hats standing next to each other men
4160,two men in suits and hard hats are looking at a tablet
4170,two men in suits and hard hats are looking at a tablet
4180,two men in suits and hard hats are looking at a tablet
4190,two men in hard hats and hard hats are talking
4200,two men in suits and hard hats are talking on a cell
4210,two men in suits and hard hats are talking on their cell phones
4220,two men in suits and hard hats are looking at a tablet
4230,two men in suits and hard hats are talking on a cell
4240,two men in suits and hard hats are talking on a cell
4250,two men in suits and hard hats are looking at a tablet
4260,two men in suits and hard hats are looking at a tablet
4270,two men in suits and hard hats are talking on their cell phones
4280,two men in suits and hard hats are talking on their cell phones
4290,two men in suits and hard hats are talking on a cell
4300,two men in suits and hard hats are talking on a cell
4310,two men in suits and hard hats are talking on a cell
4320,two men in suits and hard hats are talking on a cell
4330,two men in suits and hard hats are talking on a cell
4340,two men in suits and hats are talking on their cell phones
4350,two men in suits and hats are talking on their cell phones
4360,two men in suits and hard hats are talking on their cell phones
4370,two men in suits and hats are talking on their cell phones
4380,two men in suits and hats talking on a cell
4390,two men in suits and hats talking on a cell
4400,two men in suits and hats talking on a cell
4410,two men in suits and hats are talking on their cell phones
4420,two men in suits and hats are talking on a cell
4430,two men in suits and hats are standing on a boat
4440,two men in suits and hats are standing on a platform
4450,two men in suits and hats are standing on a boat
4460,a man in a black jacket and white hat is sitting on a bench
4470,a man in a black suit and white hat holding a bag
4480,a black bear walking through a forest
4490,a black bear walking through a forest
4500,a black bear walking through a forest
4510,a black bear walking on a rocky mountain
4520,a black bear walking on a rocky mountain
4530,a black bear walking on a rocky trail
4540,a black bear
4550,a black bear with a pink umbrella
4560,a black bear with a pink flag on its back
4570,a black bear standing next to a pink umbrella
4580,a black bear walking across a rocky mountain
4590,a black bear with a pink bow on its head
4600,a black bear walking on a rocky trail
4610,a black bear walking on a rocky mountain
4620,a black bear walking across a rocky field
4630,a black bear walking through a forest
4640,a black bear walking across a rocky mountain
4650,a black bear walking through a forest
4660,a black bear walking across a rocky mountain
4670,a black bear walking across a rocky area
4680,a black bear walking on a gravel road
4690,a black bear walking on a gravel road
4700,a black bear walking on a rocky mountain
4710,a black bear walking on a gravel road
4720,a black bear walking across a gravel road
4730,a black bear walking on a rocky mountain
4740,a black bear walking on a gravel road
4750,a black bear walking across a gravel road
4760,a black bear walking across a gravel road
4770,a black bear walking across a rocky area
4780,a black bear walking across a gravel road
4790,a black bear walking on a rocky road
4800,a black bear walking across a rocky area
4810,a large jet flying through the sky
4820,a large jet flying through the sky
4830,a large jet flying through the sky
4840,a large jet flying through the sky
4850,a large jet flying through the sky
4860,a plane flying in the sky
4870,a plane is flying in the sky
4880,a large airplane flying through the sky
4890,a large jet flying through the sky
4900,a large jet flying through the sky
4910,a large jet flying through the sky
4920,a large jet flying through the sky
4930,a large jet flying through the sky
4940,a large jet flying through the sky
4950,a large jet flying through the sky
4960,a large jet flying through the sky
4970,a large airplane flying in the sky
4980,a large airplane flying in the sky
4990,a large jet flying through the sky
5000,a plane flying in the sky
5010,a large airplane flying in the sky
5020,a large airplane flying in the sky
5030,a large airplane flying through a blue sky
5040,a large jet flying through the sky
5050,a large jet flying through the sky
5060,a large jet flying through the sky
5070,a large jet flying through the sky
5080,a large jet flying through the sky
5090,a large jet flying through the sky
5100,a large jet flying through the sky
5110,two chickens in a nest
5120,a group of chickens are standing in a barn
5130,a group of chickens
5140,a group of chickens
5150,a chicken is laying down in a cage
5160,a bunch of chickens are shown in this und - news video
5170,a chicken is standing in the dirt
5180,a chicken is standing in the dirt
5190,a cat is standing on a bed
5200,a chicken is standing in the grass
5210,a chicken is standing in the dark
5220,a chicken is standing in the dark
5230,a group of chickens are standing in a barn
5240,a bird is flying through the air
5250,a bird is sitting on a branch in the woods
5260,a chicken is standing in a cage
5270,a chicken is standing in a cage
5280,a chicken is standing in a cage
5290,a close up of a chicken in a plastic bag
5300,a close up of a chicken in a cage
5310,a group of chickens are in a cage
5320,a bunch of orange flowers in a vase
5330,a man in a brown coat
5340,a man in a brown coat is standing next to a horse
5350,a man in a brown coat
5360,a man in a brown coat
5370,a man in a hat and coat is standing next to a horse
5380,a man in a brown coat is standing next to a horse
5390,a man in a brown coat is standing next to a horse
5400,a man in a hat is standing next to two horses
5410,a man in a brown coat is riding a horse
5420,a man in a hat is riding a horse
5430,a man in a brown coat
5440,a man in a coat and hat standing next to a horse
5450,a man in a hat is standing next to two horses
5460,a man in a hat is riding a horse
5470,a man in a hat is standing next to two horses
5480,a man in a hat is standing next to a horse
5490,a man in a hat is riding a horse
5500,a man in a hat is riding a horse
5510,a man in a hat is riding a horse
5520,a man in a brown coat riding a brown horse
5530,a man riding a horse in a field
5540,a man riding a horse
5550,a man riding on the back of a horse
5560,a man in a brown coat
5570,a man riding a horse
5580,a man riding a horse
5590,a man riding on the back of a horse
5600,a man riding on the back of a horse
5610,a man riding a horse in a field
5620,a man riding a horse in a field
5630,a man riding a horse in a field
5640,a man riding a horse in a field
5650,a man riding a horse in a field
5660,a man riding a horse in a field
5670,a man riding a horse in a field
5680,a man riding a horse in a field
5690,a man riding a horse in a field
5700,a man riding a horse in a field
5710,a man riding a horse in a field
5720,a man riding a horse in a field
5730,a man riding a horse in a field
5740,a man riding a horse in a field
5750,a man riding a horse in a field
5760,a man riding a horse in a field
5770,a herd of buffalo grazs in the tall grass
5780,a herd of buffalos in the wild
5790,a herd of buffalos grazing in the wild
5800,a herd of buffalo grazs in the tall grass of the oka river
5810,a herd of buffalos grazing in the wild
5820,a herd of buffalo grazs in the grass
5830,a herd of buffalos graz in the grass
5840,a herd of buffalos grazing in the wild
5850,a herd of buffalo grazs in the grass
5860,a herd of buffalo grazs in the grass
5870,a herd of buffalo grazs in the grass
5880,a herd of buffalo grazs in the grass
5890,a herd of buffalo grazs in the grass
5900,a herd of buffalo grazs in the grass
5910,a herd of buffalo grazs in the grass
5920,a herd of buffalo grazs in a field
5930,a herd of buffalo grazs in the grass
5940,a herd of buffalo grazs in the grass
5950,a herd of buffalo grazs in the grass
5960,a herd of buffalo grazs in the grass
5970,a herd of buffalo grazs in the san valley
5980,a herd of buffalo grazs in the grass
5990,a herd of buffalo grazs in the grass
6000,a herd of buffalo grazs in the grass
6010,a herd of buffalo grazs in the grass
6020,a herd of buffalo grazs in the san valley
6030,a herd of buffalo grazs in the san valley
6040,a herd of buffalos grazing in a field
6050,a herd of buffalo grazs in the grass
6060,a herd of buffalos grazing in the grass
6070,a herd of buffalos grazing in the wild
6080,a herd of buffalos graz in the grass
6090,a herd of buffalos is seen in this und - news video
6100,a herd of buffalo grazs in the san valley
6110,a herd of buffalo grazs in the grasslands of the kala kala kala kala kala kala kala kala
6120,a couple of buffalos are standing in a field
6130,a cow and her calf grazing in a field
6140,a cow and her calf grazing in a field
6150,a buffalo is grazing in a field
6160,a herd of buffalo grazs in the grass
6170,a herd of buffalo grazs in a field
6180,a herd of bison grazs in the grass
6190,a herd of buffalo grazs in the grass
6200,a herd of cattle grazing in a field
6210,two cows grazing in a field with tall grass
6220,two cows are standing in the tall grass
6230,a herd of buffalos
6240,a herd of buffalos graz in the grass
6250,a herd of bisons
6260,a woman in a white shirt and a man in a black shirt
6270,a woman with long hair and a white shirt
6280,a woman with long hair and a brown jacket
6290,a woman with long hair and a long beard
6300,a woman with long hair and a white shirt
6310,a woman with long hair and a white shirt
6320,a woman in a white dress is standing in front of a man
6330,a woman in a white dress is standing next to a horse
6340,a woman is standing next to a horse
6350,a man in a white shirt and a black hat
6360,a woman in a white shirt and black pants
6370,a woman in a white dress and black hair
6380,a woman in a white shirt and black aprons
6390,a woman in a white shirt and black aprons
6400,a young girl in a white shirt and black apron
6410,a young girl with long hair and a white shirt
6420,a young girl in a white shirt and black hair
6430,a young girl in a white shirt and black hair
6440,a young girl in a white shirt and black hair
6450,a young girl with long hair and a ponytail
6460,a woman with long hair and a white shirt
6470,a young girl with long hair and a white shirt
6480,a young girl in a white dress is looking down
6490,a woman in a white shirt and black hair
6500,a man and woman are riding horses
6510,a woman riding on the back of a horse
6520,a man in a cowboy hat riding a horse
6530,a woman is riding a horse with a man
6540,a man and woman are riding horses
6550,a woman in a white dress is holding a horse
6560,a man in a red shirt holding a guitar
6570,a woman in a red dress standing next to a horse
6580,a man is standing next to a horse
6590,a woman in a brown dress is standing next to a horse
6600,a woman is standing next to a horse
6610,a woman is standing next to a horse
6620,a woman is standing next to a horse
6630,a woman in a white dress is standing next to a horse
6640,a woman in a dress is standing next to a man
6650,a woman in a black dress is standing next to a man
6660,a woman in a dress is standing next to a man
6670,a woman in a yellow dress is standing next to a horse
6680,a dog walking on a gravel ground
6690,a black dog with a red leash on it's neck
6700,a dog is standing on a leash
6710,a dog is standing in the dirt with a red leash
6720,a dog is standing next to a person
6730,a dog standing in the dirt near a fence
6740,a dog standing in the dirt near a fence
6750,a dog standing in front of a fence
6760,a black dog standing in front of a fence
6770,a black dog standing in front of a fence
6780,a black dog standing in front of a fence
6790,a black dog standing in front of a fence
6800,a black dog is walking on the ground
6810,a black dog standing on top of a dirt covered ground
6820,a black dog with a pink tongue standing in the dirt
6830,a dog with its tongue out and its tongue out
6840,a dog is walking on the sand with its tongue out
6850,a dog is standing in the sand with its tongue out
6860,a black dog standing on top of a dirt covered ground
6870,a black dog with a pink tongue standing in the dirt
6880,a black dog with a pink tongue standing in the dirt
6890,a black dog with a pink tongue standing in the dirt
6900,a black dog with a pink tongue walking on a dirt covered ground
6910,a black dog is walking on the ground
6920,a black dog is walking on the ground
6930,a black dog walking on a dirt covered ground
6940,a dog walking on a dirt road with its tongue out
6950,a dog walking on a dirt road next to a fence
6960,a black dog with a blue collar is walking on gravel
6970,a black dog walking on a gravel road
6980,a dog walking on a dirt road
6990,a black bear walking on a dirt covered ground
7000,a black cat is running around a chain link fence
7010,a bird is standing on the ground behind a fence
7020,a man in a sweater is smoking a cigarette
7030,a man in a sweater smoking a cigarette
7040,a man with a cigarette in his mouth
7050,a man smoking a cigarette on the street
7060,a man and woman are talking on a motorcycle
7070,a man and woman are talking on the street
7080,a man and woman are sitting on a motorcycle
7090,a man and woman are talking to each other people
7100,a man and woman are talking to each other people
7110,a man and woman are talking on a motorcycle
7120,a man and woman are talking to each other people
7130,a man and woman are talking to each other people
7140,a man and woman are sitting on a motorcycle
7150,a man and woman are sitting on a motorcycle
7160,a man and woman are sitting on a motorcycle
7170,a man and woman are sitting on a motorcycle
7180,a man and woman are sitting on a motorcycle
7190,a man and woman sitting on a motorcycle
7200,a man and woman are sitting on a motorcycle
7210,a man and woman are sitting on a motorcycle
7220,a man and woman are sitting on a motorcycle
7230,a man and woman are sitting on a motorcycle
7240,a man and woman sitting on a motorcycle
7250,a man and woman are sitting on a motorcycle
7260,a man and woman are sitting on a motorcycle
7270,a man and woman are sitting on a motorcycle
7280,a man in a white shirt
7290,a man in a white shirt is looking at a computer screen
7300,a man looking at a computer screen with a brain scan
7310,a man in a white shirt is looking at a computer screen
7320,a man in a white shirt is looking at a computer
7330,a man in a white shirt is looking at a computer
7340,a man looking at a computer screen with a brain scan
7350,a man looking at a computer screen with a brain scan
7360,a man looking at a computer screen with a brain scan
7370,a man in a white shirt is looking at a computer screen
7380,a man in a white shirt is looking at a computer screen
7390,a man looking at a computer screen with a brain scan
7400,a man looking at a computer screen with a brain scan
7410,a man in a white shirt is looking at a computer
7420,a man looking at a computer screen with a brain scan
7430,a man looking at a computer screen with a brain scan
7440,a man looking at a computer screen with a brain scan
7450,a man looking at a computer screen with a brain scan
7460,a man looking at a computer screen with a brain scan
7470,a man looking at a computer screen with a brain scan
7480,a river with a waterfall in the middle
7490,a river with a mountain in the background
7500,a river with a mountain in the background
7510,a river with a waterfall in the middle
7520,a river with a waterfall in the middle
7530,a river with a waterfall in the middle
7540,a river with a waterfall in the middle
7550,a river with a waterfall in the middle
7560,a river with a waterfall in the middle
7570,a river with a waterfall in the middle
7580,a river with a waterfall in the middle
7590,a river with a waterfall in the middle
7600,a river with a waterfall in the middle
7610,a river with a waterfall in the middle
7620,a river with a waterfall in the middle
7630,a river with rapids and rapids in the middle of it
7640,a river with rapids and rapids in the middle of it
7650,a river with rapids and rapids in the middle of it
7660,a river with rapids and rapids in the middle of it
7670,a river with rapids and rapids in the middle of it
7680,a river with rapids and rapids in the middle of it
7690,a river with rapids and rapids in the middle of it
7700,a boat is in the water near a mountain
7710,a boat is in the water near a mountain
7720,a boat is in the water near a mountain
7730,a boat is going down the river
7740,a boat is in the water near a mountain
7750,a boat is in the water near a mountain
7760,a boat is going through the water in the middle of a river
7770,a man is in the water with a boat
7780,a man is in the water with a boat
7790,a man is in the water with a surfboard
7800,a man is in the water with a paddle
7810,a man is in the water on a boat
7820,a boat is in the water near a forest
7830,a boat is going through the water in the middle of a river
7840,a boat is going down the river
7850,a boat is in the middle of a river
7860,a boat is in the middle of a river
7870,a boat is going down the river
7880,a river with water flowing down it
7890,a large elephant walking in the grass
7900,two elephants walking in the grass
7910,two elephants walking in the grass
7920,a group of elephants walking through a field
7930,a herd of elephants walking through a dry grass field
7940,a group of elephants walking through a field
7950,a group of elephants walking through a field
7960,a herd of elephants walking through a field
7970,a herd of elephants walking through a dry grass field
7980,a herd of elephants walking through a field
7990,a group of elephants walking through a field
8000,a group of elephants walking through a field
8010,a group of elephants walking through a field
8020,a group of elephants walking through a field
8030,a group of elephants walking through a field
8040,a herd of elephants walking through a field
8050,a herd of elephants walking through a muddy field
8060,a herd of elephants walking across a river
8070,a group of elephants walking across a river
8080,a herd of elephants are drinking water from a watering hole
8090,a large elephant walking across a small pond
8100,a large elephant walking across a small pond
8110,a large elephant standing in a body of water
8120,a large elephant standing in a body of water
8130,a large elephant standing in a body of water
8140,a large elephant standing in a body of water
8150,a large elephant walking across a small body of water
8160,a large elephant walking across a small body of water
8170,a large elephant standing in a body of water
8180,a large elephant walking across a small body of water
8190,a large elephant walking across a river
8200,a large elephant standing next to a small body of water
8210,a large elephant walking across a small pond
8220,a large elephant standing in a body of water
8230,a large elephant standing in a body of water
8240,a large elephant standing in a body of water
8250,a large elephant standing in a body of water
